"filename", "language", "JSON", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"/Users/kaispife/Documents/VSC/portfolio-generator/components/awards.html", "HTML", 0, 38, 0, 0, 4, 4, 46
"/Users/kaispife/Documents/VSC/portfolio-generator/components/certifications.html", "HTML", 0, 79, 0, 0, 7, 7, 93
"/Users/kaispife/Documents/VSC/portfolio-generator/components/education.html", "HTML", 0, 47, 0, 0, 3, 7, 57
"/Users/kaispife/Documents/VSC/portfolio-generator/components/error-404.html", "HTML", 0, 24, 0, 0, 0, 3, 27
"/Users/kaispife/Documents/VSC/portfolio-generator/components/footer.html", "HTML", 0, 46, 0, 0, 4, 7, 57
"/Users/kaispife/Documents/VSC/portfolio-generator/components/hero-intro.html", "HTML", 0, 57, 0, 0, 1, 6, 64
"/Users/kaispife/Documents/VSC/portfolio-generator/components/metadata.html", "HTML", 0, 62, 0, 0, 8, 8, 78
"/Users/kaispife/Documents/VSC/portfolio-generator/components/navbar.html", "HTML", 0, 41, 0, 0, 0, 3, 44
"/Users/kaispife/Documents/VSC/portfolio-generator/components/projects.html", "HTML", 0, 84, 0, 0, 4, 16, 104
"/Users/kaispife/Documents/VSC/portfolio-generator/components/sidebar.html", "HTML", 0, 120, 0, 0, 6, 16, 142
"/Users/kaispife/Documents/VSC/portfolio-generator/components/skills.html", "HTML", 0, 80, 0, 0, 5, 5, 90
"/Users/kaispife/Documents/VSC/portfolio-generator/components/social-showcase.html", "HTML", 0, 45, 0, 0, 2, 12, 59
"/Users/kaispife/Documents/VSC/portfolio-generator/components/testimonials.html", "HTML", 0, 27, 0, 0, 2, 2, 31
"/Users/kaispife/Documents/VSC/portfolio-generator/components/volunteer.html", "HTML", 0, 47, 0, 0, 3, 7, 57
"/Users/kaispife/Documents/VSC/portfolio-generator/components/work-experience.html", "HTML", 0, 89, 0, 0, 4, 13, 106
"/Users/kaispife/Documents/VSC/portfolio-generator/css/animations.css", "PostCSS", 0, 0, 0, 237, 28, 40, 305
"/Users/kaispife/Documents/VSC/portfolio-generator/css/buttons.css", "PostCSS", 0, 0, 0, 471, 32, 44, 547
"/Users/kaispife/Documents/VSC/portfolio-generator/css/components.css", "PostCSS", 0, 0, 0, 1382, 38, 223, 1643
"/Users/kaispife/Documents/VSC/portfolio-generator/css/floating-fish.css", "PostCSS", 0, 0, 0, 53, 4, 7, 64
"/Users/kaispife/Documents/VSC/portfolio-generator/css/forms.css", "PostCSS", 0, 0, 0, 157, 8, 20, 185
"/Users/kaispife/Documents/VSC/portfolio-generator/css/frutiger-global.css", "PostCSS", 0, 0, 0, 484, 35, 53, 572
"/Users/kaispife/Documents/VSC/portfolio-generator/css/icons.css", "PostCSS", 0, 0, 0, 76, 12, 16, 104
"/Users/kaispife/Documents/VSC/portfolio-generator/css/layout.css", "PostCSS", 0, 0, 0, 790, 29, 120, 939
"/Users/kaispife/Documents/VSC/portfolio-generator/css/master.css", "PostCSS", 0, 0, 0, 10, 7, 6, 23
"/Users/kaispife/Documents/VSC/portfolio-generator/css/pages.css", "PostCSS", 0, 0, 0, 848, 33, 134, 1015
"/Users/kaispife/Documents/VSC/portfolio-generator/css/root.css", "PostCSS", 0, 0, 0, 324, 19, 42, 385
"/Users/kaispife/Documents/VSC/portfolio-generator/error.html", "HTML", 0, 40, 0, 0, 9, 7, 56
"/Users/kaispife/Documents/VSC/portfolio-generator/icons-config.json", "JSON", 381, 0, 0, 0, 0, 1, 382
"/Users/kaispife/Documents/VSC/portfolio-generator/index.html", "HTML", 0, 90, 0, 0, 17, 12, 119
"/Users/kaispife/Documents/VSC/portfolio-generator/js/component-loader.js", "JavaScript", 0, 0, 99, 0, 25, 20, 144
"/Users/kaispife/Documents/VSC/portfolio-generator/js/dataLoader.js", "JavaScript", 0, 0, 123, 0, 50, 29, 202
"/Users/kaispife/Documents/VSC/portfolio-generator/js/eventHandlers.js", "JavaScript", 0, 0, 149, 0, 61, 31, 241
"/Users/kaispife/Documents/VSC/portfolio-generator/js/features.js", "JavaScript", 0, 0, 359, 0, 57, 63, 479
"/Users/kaispife/Documents/VSC/portfolio-generator/js/floating-fish.js", "JavaScript", 0, 0, 294, 0, 41, 63, 398
"/Users/kaispife/Documents/VSC/portfolio-generator/js/frutiger-main.js", "JavaScript", 0, 0, 570, 0, 46, 84, 700
"/Users/kaispife/Documents/VSC/portfolio-generator/js/icon-config-loader.js", "JavaScript", 0, 0, 114, 0, 64, 27, 205
"/Users/kaispife/Documents/VSC/portfolio-generator/js/icon-loader.js", "JavaScript", 0, 0, 55, 0, 12, 14, 81
"/Users/kaispife/Documents/VSC/portfolio-generator/js/icon-style-switcher.js", "JavaScript", 0, 0, 62, 0, 30, 13, 105
"/Users/kaispife/Documents/VSC/portfolio-generator/js/logger.js", "JavaScript", 0, 0, 41, 0, 1, 8, 50
"/Users/kaispife/Documents/VSC/portfolio-generator/js/main.js", "JavaScript", 0, 0, 70, 0, 38, 18, 126
"/Users/kaispife/Documents/VSC/portfolio-generator/js/preloader.js", "JavaScript", 0, 0, 24, 0, 7, 8, 39
"/Users/kaispife/Documents/VSC/portfolio-generator/js/renderer.js", "JavaScript", 0, 0, 490, 0, 38, 76, 604
"/Users/kaispife/Documents/VSC/portfolio-generator/js/secrets.js", "JavaScript", 0, 0, 826, 0, 37, 132, 995
"/Users/kaispife/Documents/VSC/portfolio-generator/js/site-config-loader.js", "JavaScript", 0, 0, 247, 0, 67, 49, 363
"/Users/kaispife/Documents/VSC/portfolio-generator/js/templates.js", "JavaScript", 0, 0, 171, 0, 21, 21, 213
"/Users/kaispife/Documents/VSC/portfolio-generator/js/utils.js", "JavaScript", 0, 0, 102, 0, 106, 20, 228
"/Users/kaispife/Documents/VSC/portfolio-generator/pages/about.html", "HTML", 0, 138, 0, 0, 21, 18, 177
"/Users/kaispife/Documents/VSC/portfolio-generator/pages/blog.html", "HTML", 0, 62, 0, 0, 17, 12, 91
"/Users/kaispife/Documents/VSC/portfolio-generator/pages/connect.html", "HTML", 0, 107, 0, 0, 19, 14, 140
"/Users/kaispife/Documents/VSC/portfolio-generator/pages/contact.html", "HTML", 0, 114, 0, 0, 11, 23, 148
"/Users/kaispife/Documents/VSC/portfolio-generator/pages/error.html", "HTML", 0, 0, 0, 0, 0, 1, 1
"/Users/kaispife/Documents/VSC/portfolio-generator/pages/gallery.html", "HTML", 0, 155, 0, 0, 21, 23, 199
"/Users/kaispife/Documents/VSC/portfolio-generator/pages/privacy.html", "HTML", 0, 91, 0, 0, 13, 21, 125
"/Users/kaispife/Documents/VSC/portfolio-generator/pages/sitemap.html", "HTML", 0, 195, 0, 0, 25, 25, 245
"/Users/kaispife/Documents/VSC/portfolio-generator/pages/terms.html", "HTML", 0, 85, 0, 0, 13, 22, 120
"/Users/kaispife/Documents/VSC/portfolio-generator/pages/work.html", "HTML", 0, 74, 0, 0, 20, 15, 109
"/Users/kaispife/Documents/VSC/portfolio-generator/site-config.json", "JSON", 163, 0, 0, 0, 0, 6, 169
"Total", "-", 544, 2037, 3796, 4832, 1185, 1697, 14091
